AGE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,GENDER_male,RACE_minority,VEHICLE_TYPE_sports car,OUTCOME,RISK_SCORE,RISK_CATEGORY
0,0,1,1,0.4395710203814109,0.0,1,1.0,0.0,12000.0,0,0,0,False,True,False,1.0,0.8084316744754817,High Risk
3,3,2,2,0.6843084001191895,1.0,1,1.0,1.0,14000.0,0,2,0,False,False,False,0.0,0.07687353104277071,Low Risk
3,3,0,0,0.5003602785833389,1.0,1,0.0,1.0,10000.0,10,1,5,True,False,False,0.0,0.04896026647397208,Low Risk
0,0,0,3,0.4609659013699166,0.0,1,0.0,0.0,15000.0,0,0,0,True,False,False,1.0,0.9514229503360027,High Risk
1,1,2,2,0.5365905524626464,1.0,1,1.0,1.0,12000.0,0,1,0,False,False,False,0.0,0.09139445674094991,Low Risk
2,0,1,0,0.3460145477683494,1.0,1,1.0,1.0,6000.0,0,0,0,False,False,False,1.0,0.5498245384460728,Medium Risk
2,1,0,0,0.5094372527074583,1.0,0,1.0,1.0,8000.0,2,0,2,True,False,False,0.0,0.03630304916434674,Low Risk
2,0,1,2,0.6439910880215374,1.0,0,1.0,1.0,11000.0,0,0,0,True,False,False,0.0,0.22355990893093466,Low Risk
3,1,0,2,0.679535593605594,1.0,0,1.0,1.0,12000.0,2,0,1,True,True,False,0.0,0.06873862148187886,Low Risk
1,1,1,1,0.3437899450363883,1.0,1,0.0,1.0,10000.0,0,0,0,False,False,False,0.0,0.10454009060182314,Low Risk
1,1,1,0,0.5479028599793236,1.0,0,0.0,0.0,14000.0,1,0,1,False,False,False,0.0,0.060288763215938755,Low Risk
2,1,2,2,0.6771341348842009,1.0,1,1.0,1.0,7000.0,5,0,0,False,False,False,0.0,0.09596206747473185,Low Risk
0,0,2,0,0.4350460544954154,1.0,0,0.0,1.0,10000.0,0,0,0,True,False,False,0.0,0.3036109941206498,Medium Risk
3,1,2,2,0.5250327586154788,0.0,1,1.0,1.0,10000.0,2,1,1,True,False,False,1.0,0.33633552177774584,Medium Risk
2,0,0,0,0.4752262109815828,1.0,1,0.0,0.0,19000.0,0,0,0,True,True,False,1.0,0.5974778724511962,Medium Risk
2,2,0,2,0.7612274339265259,1.0,0,0.0,1.0,12000.0,10,0,2,True,False,False,0.0,0.05877341881128006,Low Risk
2,1,2,2,0.6704645467899408,1.0,0,1.0,1.0,14000.0,0,0,0,True,False,False,0.0,0.07582242971237461,Low Risk
3,3,2,2,0.6819567520526453,1.0,0,0.0,1.0,11000.0,6,0,1,False,False,False,0.0,0.021806262673909647,Low Risk
0,0,0,3,0.4987146666985322,0.0,1,1.0,1.0,8000.0,0,0,0,True,True,False,1.0,0.8379675832647873,High Risk
0,0,1,1,0.1882399427662648,1.0,1,0.0,1.0,14000.0,0,0,0,False,False,False,1.0,0.5349801390383081,Medium Risk
3,2,2,2,0.5424532094676138,1.0,0,1.0,1.0,12000.0,0,0,1,False,False,False,0.0,0.018015178027625575,Low Risk
0,0,1,1,0.5250327586154788,0.0,1,0.0,0.0,17000.0,0,0,0,False,True,False,1.0,0.8464569576116696,High Risk
3,3,2,0,0.344829978720007,1.0,1,0.0,1.0,12000.0,6,1,2,True,False,False,0.0,0.07032777350265734,Low Risk
1,0,2,0,0.6674176964471904,1.0,1,1.0,1.0,12000.0,0,0,0,False,True,True,1.0,0.3198635748855413,Medium Risk
2,2,0,2,0.6100432190746569,1.0,1,1.0,1.0,9000.0,3,1,0,False,False,False,0.0,0.022765435787798483,Low Risk
1,1,0,0,0.478717087520263,1.0,1,1.0,0.0,14000.0,2,0,0,True,False,False,0.0,0.2192015373937234,Low Risk
1,1,2,2,0.5572413287521248,1.0,1,1.0,0.0,8000.0,0,0,0,True,True,False,0.0,0.18453319199663543,Low Risk
0,0,0,1,0.355637235170655,0.0,1,0.0,1.0,12000.0,0,0,0,False,False,False,1.0,0.8675182324061588,High Risk
0,0,2,0,0.5584297222497407,1.0,1,1.0,1.0,7000.0,0,0,0,False,False,False,1.0,0.3557533883688054,Medium Risk
3,3,0,2,0.7251812827331864,1.0,1,0.0,1.0,14000.0,0,0,1,False,False,False,0.0,0.04983414842311942,Low Risk
0,0,0,0,0.4674824622624675,1.0,1,0.0,0.0,19000.0,0,0,0,True,False,False,1.0,0.7714355440700796,High Risk
2,2,1,0,0.4472848534938492,1.0,1,0.0,1.0,14000.0,3,0,1,False,False,False,0.0,0.09746456777038022,Low Risk
2,2,2,0,0.4760755481035748,0.0,1,0.0,0.0,16000.0,2,0,3,True,False,False,0.0,0.16361104128048054,Low Risk
0,0,1,1,0.5250327586154788,0.0,1,0.0,1.0,11000.0,0,0,0,False,False,False,1.0,0.8121167644532227,High Risk
1,1,2,3,0.5485077614613438,0.0,1,0.0,0.0,13000.0,1,0,3,True,False,False,1.0,0.6456050937054764,High Risk
1,0,0,0,0.5208708404176335,1.0,1,1.0,1.0,12000.0,0,0,0,False,True,False,0.0,0.4127281368859455,Medium Risk
2,2,2,2,0.5408720914004326,1.0,1,1.0,1.0,12000.0,2,2,2,False,False,False,0.0,0.035723949743107324,Low Risk
3,1,2,2,0.7308847181141034,1.0,1,0.0,1.0,12000.0,0,0,1,False,False,False,0.0,0.14719628336921653,Low Risk
2,2,1,0,0.5250327586154788,1.0,1,0.0,0.0,11000.0,4,0,0,False,False,False,0.0,0.0753693709087353,Low Risk
0,0,2,0,0.5736784822411335,0.0,1,0.0,1.0,13000.0,0,0,0,False,False,False,1.0,0.7463621263920938,High Risk
1,1,2,0,0.5250327586154788,1.0,1,1.0,1.0,10000.0,2,1,0,True,False,False,0.0,0.20898579118583574,Low Risk
1,1,0,0,0.5250327586154788,1.0,1,0.0,1.0,13000.0,2,0,0,False,False,False,0.0,0.20743173359788994,Low Risk
2,2,2,2,0.6196882477228701,1.0,0,1.0,1.0,12000.0,3,0,1,True,False,False,0.0,0.044235423241249426,Low Risk
3,0,0,2,0.6313865803936844,1.0,0,0.0,1.0,10000.0,0,0,0,True,False,False,0.0,0.27204090277633175,Low Risk
0,0,0,1,0.321625427740078,0.0,1,0.0,1.0,10000.0,0,0,0,False,False,False,1.0,0.8398270427639589,High Risk
2,1,2,2,0.6240850982971254,0.0,0,1.0,0.0,12000.0,0,0,0,True,False,False,0.0,0.35914843479915914,Medium Risk
0,0,0,1,0.4016022303600121,1.0,1,1.0,1.0,8000.0,0,0,0,True,False,False,1.0,0.5798901652964203,Medium Risk
3,3,0,2,0.5173495976314954,1.0,0,1.0,1.0,6000.0,10,0,2,False,False,False,0.0,0.00820484334698856,Low Risk
0,0,2,2,0.6632948509821023,1.0,1,0.0,0.0,15000.0,0,0,0,False,False,False,1.0,0.5655870707987858,Medium Risk
2,0,2,0,0.2911508701209556,1.0,1,1.0,1.0,11000.0,0,0,0,True,False,False,1.0,0.666312811783144,High Risk
2,2,2,2,0.6304271900044401,1.0,1,1.0,1.0,10000.0,4,1,4,True,False,False,0.0,0.030819535556986813,Low Risk
3,0,1,0,0.4787607562159499,1.0,1,0.0,0.0,17000.0,0,0,0,False,False,False,0.0,0.5853197242587498,Medium Risk
0,0,0,0,0.2522075844607468,1.0,1,0.0,1.0,11000.0,0,0,0,True,False,False,1.0,0.6292431394390924,High Risk
0,0,0,3,0.4723554796185506,0.0,0,0.0,1.0,12000.0,0,0,0,True,False,False,1.0,0.804945435202903,High Risk
0,0,0,1,0.5250327586154788,1.0,1,1.0,1.0,10000.0,0,0,0,True,False,False,1.0,0.6021226730162031,High Risk
1,1,1,1,0.3136216972616633,0.0,1,1.0,1.0,12000.0,1,0,0,False,False,False,0.0,0.35219278261814524,Medium Risk
2,0,1,0,0.4900678073285606,1.0,0,0.0,1.0,12000.0,0,0,0,True,False,False,0.0,0.24197519024331304,Low Risk
1,1,0,3,0.5097097414863175,1.0,1,0.0,1.0,12000.0,0,0,0,True,True,False,1.0,0.26448922005694875,Low Risk
1,0,0,1,0.3560925928410373,0.0,1,0.0,0.0,14000.0,0,0,0,True,False,False,1.0,0.9608826154655062,High Risk
3,3,0,2,0.5837375306849749,0.0,1,1.0,1.0,10000.0,3,1,5,True,False,False,0.0,0.04779434480250843,Low Risk
2,0,2,2,0.7144415394622058,1.0,0,1.0,1.0,8000.0,0,0,0,True,False,False,0.0,0.21062676339898048,Low Risk
2,0,2,2,0.7012597772312479,1.0,0,1.0,1.0,5000.0,0,0,0,False,False,False,0.0,0.07693594986676987,Low Risk
2,2,0,0,0.6599559493185874,0.0,1,1.0,1.0,7000.0,1,1,0,False,False,False,0.0,0.07417377831276284,Low Risk
2,2,0,2,0.5491402858463559,1.0,1,0.0,1.0,12000.0,2,0,0,False,False,False,0.0,0.046466445420707686,Low Risk
2,2,2,3,0.4205455735957423,1.0,1,0.0,0.0,12000.0,1,0,1,False,False,False,0.0,0.12045049740701738,Low Risk
1,1,1,3,0.3504134685963745,0.0,1,0.0,1.0,12000.0,1,0,0,False,False,False,1.0,0.5098655248172445,Medium Risk
2,2,2,2,0.5992892337813946,1.0,0,1.0,1.0,14000.0,0,1,5,True,False,False,0.0,0.014798779994034972,Low Risk
1,1,0,0,0.4882351574275571,1.0,1,1.0,1.0,10000.0,1,0,0,False,False,False,0.0,0.10496271422907487,Low Risk
1,0,2,2,0.5195081912594821,0.0,0,1.0,1.0,8000.0,0,0,0,False,False,False,0.0,0.4854430075285401,Medium Risk
2,1,2,0,0.4399022478242083,1.0,0,0.0,1.0,11000.0,2,0,0,False,True,False,0.0,0.1029272729970504,Low Risk
1,1,0,1,0.4757700837178347,0.0,1,1.0,1.0,11000.0,2,0,1,True,False,False,0.0,0.5365488657276329,Medium Risk
1,1,2,2,0.5592727404712611,1.0,1,1.0,1.0,13000.0,4,0,1,True,False,False,0.0,0.22121611923965978,Low Risk
2,2,1,3,0.5250327586154788,1.0,1,1.0,1.0,9000.0,0,1,2,True,False,False,0.0,0.09868624595737645,Low Risk
3,3,0,2,0.6598897809583361,1.0,0,1.0,1.0,10000.0,3,1,1,False,False,False,0.0,0.007683202726063828,Low Risk
1,1,0,0,0.5776199106600849,1.0,1,0.0,1.0,8000.0,4,0,0,False,False,False,0.0,0.18057860547324314,Low Risk
2,2,0,0,0.5523185354505107,0.0,0,0.0,1.0,9000.0,5,0,2,False,True,False,0.0,0.058963894718601244,Low Risk
3,2,2,2,0.7337520945037399,1.0,0,0.0,1.0,16000.0,0,0,1,False,False,False,0.0,0.023293130224444663,Low Risk
1,1,1,1,0.5250327586154788,0.0,1,0.0,0.0,15000.0,1,0,1,False,False,False,1.0,0.4491159737251567,Medium Risk
1,1,0,0,0.6763506447647986,1.0,1,0.0,0.0,14000.0,0,0,0,False,False,False,0.0,0.16178362525819587,Low Risk
2,1,1,0,0.5250327586154788,1.0,1,0.0,1.0,17000.0,0,0,1,True,False,True,1.0,0.2390722199022761,Low Risk
1,1,2,0,0.3354506418625349,0.0,1,1.0,0.0,12000.0,0,0,1,True,False,True,1.0,0.4937908223051204,Medium Risk
1,1,0,0,0.5735528833585384,1.0,0,1.0,0.0,11000.0,0,0,0,False,False,False,0.0,0.04507859629090048,Low Risk
3,0,2,2,0.7308655361413354,0.0,0,1.0,1.0,9000.0,0,0,0,True,False,False,1.0,0.6386318939421954,High Risk
2,2,2,2,0.8224546624066171,0.0,0,0.0,1.0,12000.0,0,0,0,False,False,False,0.0,0.13762903895518394,Low Risk
3,3,2,2,0.5723337906263316,1.0,0,1.0,1.0,13000.0,4,0,5,True,False,False,0.0,0.004716496449494958,Low Risk
0,0,0,3,0.4723364781950884,1.0,0,1.0,0.0,15000.0,0,0,0,True,True,False,1.0,0.2681920606208645,Low Risk
3,0,0,2,0.7887010854473916,1.0,1,1.0,1.0,13000.0,0,0,0,False,False,False,0.0,0.2887986290574402,Low Risk
2,2,0,2,0.5250327586154788,1.0,0,1.0,1.0,6000.0,6,0,5,True,False,False,0.0,0.011768109895967462,Low Risk
1,1,1,3,0.467247833928757,0.0,1,0.0,1.0,10000.0,1,0,1,False,False,False,1.0,0.36647535650816593,Medium Risk
1,1,2,2,0.7268184180645275,1.0,1,1.0,1.0,15000.0,2,0,0,False,False,False,0.0,0.17496058027468295,Low Risk
2,1,0,2,0.5097640526667242,0.0,1,1.0,1.0,11000.0,0,0,4,False,False,False,0.0,0.17780007864814057,Low Risk
3,3,0,2,0.6542716199084817,1.0,0,1.0,1.0,9000.0,2,0,1,False,False,False,0.0,0.011740274844720532,Low Risk
3,1,2,2,0.6686311631887717,1.0,1,1.0,1.0,12000.0,3,0,2,True,False,False,0.0,0.1171198742884962,Low Risk
0,0,2,3,0.4055600158887265,1.0,1,0.0,0.0,17000.0,0,0,0,True,False,False,1.0,0.7575864678321049,High Risk
1,1,2,2,0.7319502229827478,1.0,0,1.0,1.0,10000.0,4,0,1,True,False,False,0.0,0.051100618570484875,Low Risk
2,2,1,1,0.3073861049904308,1.0,0,1.0,1.0,12000.0,2,0,2,True,False,False,0.0,0.06527330504473747,Low Risk
0,0,1,1,0.3184419972124171,1.0,1,0.0,1.0,10000.0,0,0,0,True,False,False,1.0,0.7112677578874608,High Risk
0,0,2,0,0.3502694027084785,1.0,0,0.0,1.0,12000.0,0,0,0,True,False,False,0.0,0.2531175053615781,Low Risk
1,1,0,1,0.507382750269999,0.0,1,0.0,1.0,15000.0,0,0,0,False,False,False,0.0,0.4847066241030656,Medium Risk
2,2,1,3,0.5250327586154788,1.0,1,1.0,1.0,10000.0,5,0,1,True,False,True,0.0,0.07370563884221726,Low Risk
2,2,0,2,0.4806646301272015,1.0,1,1.0,1.0,9000.0,5,0,3,True,True,False,0.0,0.029320045360596052,Low Risk
0,0,2,0,0.5975814142184755,0.0,0,0.0,1.0,11000.0,0,0,0,True,False,False,1.0,0.7396792537867125,High Risk
1,0,2,2,0.6367641521533212,1.0,1,1.0,1.0,10000.0,0,0,0,True,False,False,1.0,0.5785162893900561,Medium Risk
2,2,2,2,0.4576822397720842,1.0,1,0.0,0.0,13000.0,4,0,6,True,False,False,0.0,0.035155737255928604,Low Risk
1,1,2,2,0.6949487338611865,1.0,1,1.0,1.0,9000.0,1,0,0,True,False,False,0.0,0.12925956577693845,Low Risk
3,3,2,2,0.8340994824815043,1.0,0,0.0,1.0,15000.0,2,0,1,False,False,False,0.0,0.05236581104708996,Low Risk
1,1,0,0,0.4056368272230281,1.0,0,0.0,0.0,16000.0,2,0,0,False,False,False,0.0,0.15004025933887968,Low Risk
1,1,2,0,0.4367305097057258,0.0,1,0.0,1.0,15000.0,0,0,1,True,False,False,0.0,0.689406333914653,High Risk
2,2,0,2,0.8102003352829421,1.0,1,0.0,1.0,12000.0,1,0,0,False,True,False,0.0,0.04806177674800864,Low Risk
1,1,1,1,0.3226948676935375,0.0,1,0.0,0.0,10000.0,4,0,0,True,False,False,1.0,0.6291646914491872,High Risk
3,3,2,2,0.7012683240604196,1.0,1,1.0,1.0,10000.0,3,1,1,False,False,False,0.0,0.01339008983716119,Low Risk
2,1,1,2,0.5250327586154788,1.0,0,1.0,0.0,12000.0,5,0,1,True,False,False,0.0,0.13951531461972005,Low Risk
1,1,1,1,0.2229377578003164,0.0,1,0.0,1.0,12000.0,1,0,1,False,False,True,0.0,0.33050369968489884,Medium Risk
3,0,2,2,0.649820471216227,1.0,0,1.0,1.0,9000.0,0,0,0,True,False,False,1.0,0.15432660634339385,Low Risk
1,1,1,1,0.3756204120895222,0.0,1,0.0,1.0,17000.0,0,0,0,True,False,False,1.0,0.7483535745300562,High Risk
2,2,1,3,0.4106478219200299,1.0,1,0.0,1.0,10000.0,7,0,1,True,False,False,0.0,0.09195820787687445,Low Risk
2,2,0,0,0.5532710588297743,1.0,1,0.0,0.0,12000.0,1,3,1,True,False,False,0.0,0.06101145983884539,Low Risk
3,1,0,0,0.6212693959586079,1.0,1,1.0,1.0,10000.0,1,1,1,False,False,False,0.0,0.06677424190092669,Low Risk
1,1,0,2,0.7440140862681482,1.0,1,0.0,0.0,13000.0,2,0,1,True,False,False,0.0,0.28282654524039086,Low Risk
1,1,2,0,0.5250327586154788,1.0,1,1.0,1.0,10000.0,5,0,1,True,False,False,0.0,0.23395138455681136,Low Risk
2,2,2,2,0.3921281906969913,1.0,0,0.0,0.0,15000.0,1,0,1,False,False,False,0.0,0.0790271739665872,Low Risk
1,1,0,0,0.4741973179165643,1.0,1,0.0,1.0,9000.0,2,1,0,True,False,False,1.0,0.23204226119130586,Low Risk
2,1,1,3,0.3591755604347796,1.0,1,0.0,1.0,11000.0,0,0,1,True,False,False,0.0,0.28131298493475887,Low Risk
0,0,1,1,0.4530676522206702,0.0,1,0.0,0.0,15000.0,0,0,0,True,False,True,1.0,0.9343098038889985,High Risk
1,1,0,2,0.659592617889624,0.0,1,1.0,1.0,12000.0,0,0,0,False,False,False,0.0,0.31434843732919704,Medium Risk
2,2,0,2,0.5841712511451417,1.0,0,0.0,0.0,12000.0,7,2,1,True,False,False,0.0,0.02930129167259513,Low Risk
1,1,0,0,0.4522821598671521,1.0,0,1.0,1.0,8000.0,3,1,1,False,False,False,0.0,0.054746076755559134,Low Risk
1,1,1,3,0.4466473449579012,1.0,1,0.0,1.0,10000.0,5,0,1,True,False,False,0.0,0.250831758107728,Low Risk
2,2,0,2,0.5478225909631781,1.0,1,0.0,0.0,15000.0,5,0,1,True,False,True,0.0,0.0988374625773612,Low Risk
3,0,2,2,0.6287896754571439,1.0,1,1.0,1.0,12000.0,0,0,0,True,False,False,1.0,0.5690342557468662,Medium Risk
1,1,0,0,0.6721116714802283,1.0,0,0.0,1.0,9000.0,1,0,1,False,False,False,0.0,0.038032150228329745,Low Risk
3,3,2,2,0.7757473661757602,1.0,0,0.0,1.0,15000.0,1,0,0,False,False,False,0.0,0.03137842471609558,Low Risk
0,0,0,0,0.5250327586154788,1.0,1,1.0,0.0,14000.0,0,0,0,True,False,False,1.0,0.7129478893414458,High Risk
1,1,0,1,0.2903776965781191,0.0,1,1.0,1.0,12000.0,4,0,5,True,False,False,1.0,0.5233118195525496,Medium Risk
1,1,2,0,0.5250327586154788,0.0,1,1.0,0.0,12000.0,1,1,0,True,False,False,1.0,0.536319635882368,Medium Risk
1,0,2,3,0.3177746157661034,1.0,1,1.0,1.0,6000.0,0,0,0,True,False,True,1.0,0.6535199892113449,High Risk
2,0,0,3,0.4644116361856702,1.0,0,0.0,0.0,13000.0,0,0,0,True,False,False,0.0,0.1962853586404885,Low Risk
2,2,1,0,0.4035809619252694,0.0,1,0.0,1.0,8000.0,7,0,1,True,True,False,1.0,0.12434801887884399,Low Risk
0,0,1,1,0.2915625919498569,0.0,1,0.0,1.0,9000.0,0,0,0,True,False,False,1.0,0.9423177996181645,High Risk
2,2,0,0,0.5723973007903935,1.0,1,1.0,1.0,10000.0,3,0,1,True,False,False,0.0,0.06419808561892354,Low Risk
1,1,1,1,0.2852883968859366,1.0,1,0.0,0.0,12000.0,0,0,1,True,False,True,0.0,0.2582254898670367,Low Risk
0,0,0,1,0.3438278859742953,0.0,1,0.0,0.0,7000.0,0,0,0,True,False,False,1.0,0.9733455220660203,High Risk
2,1,2,2,0.5250327586154788,1.0,1,1.0,1.0,13000.0,2,0,0,True,False,False,0.0,0.21518137998986714,Low Risk
2,1,2,2,0.5250327586154788,1.0,1,1.0,0.0,13000.0,2,3,0,True,False,True,1.0,0.28457562204828973,Low Risk
3,0,0,2,0.4255919544188486,1.0,0,1.0,1.0,10000.0,0,0,0,True,False,False,1.0,0.23823594309744256,Low Risk
0,0,0,1,0.1986636668256905,0.0,0,1.0,1.0,12000.0,0,0,0,True,False,False,0.0,0.5246418313230551,Medium Risk
3,3,0,2,0.5801244602268175,1.0,1,1.0,0.0,12000.0,3,1,1,False,False,False,0.0,0.03143038513997384,Low Risk
1,1,0,0,0.5960178820895716,1.0,1,0.0,1.0,9000.0,0,0,1,True,False,False,0.0,0.13891471162178334,Low Risk
0,0,1,1,0.3599244986413249,0.0,1,0.0,0.0,14000.0,0,0,0,False,False,False,0.0,0.8870418442214116,High Risk
2,2,2,2,0.5636540752380534,1.0,0,1.0,1.0,8000.0,13,3,1,True,False,True,0.0,0.05281827753170162,Low Risk
2,1,2,2,0.5748734376541189,0.0,1,1.0,1.0,13000.0,2,0,0,False,False,False,0.0,0.2750209142758063,Low Risk
0,0,1,1,0.3511035911519817,0.0,1,0.0,0.0,15000.0,0,0,0,True,False,False,1.0,0.9658909202500401,High Risk
0,0,0,3,0.4494306672912852,1.0,1,0.0,0.0,14000.0,0,0,0,False,True,False,1.0,0.6929018090194572,High Risk
2,1,0,0,0.5175180906935773,1.0,0,1.0,1.0,7000.0,0,0,0,False,True,False,0.0,0.06137907571976923,Low Risk
3,3,0,0,0.5250327586154788,0.0,1,1.0,1.0,10000.0,4,1,0,True,False,False,0.0,0.06049291087319292,Low Risk
1,0,2,2,0.5073241356207076,1.0,1,0.0,1.0,12000.0,0,0,0,True,False,False,0.0,0.67099494929218,High Risk
